OBJECTID_1 *,Shape *,tmk_txt,OSDS Present,Newly Developed (2005 - 2021),500-ft Sewer Buffer,500-ft Coastline Buffer,WWTP 1-Mi Buffer,CEJST LIDAC,Sea Grant Priority,Island,AOI,Shape_Length,Shape_Area
1,Polygon,379007025,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.002897,0
2,Polygon,379007026,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.004717,0.000001
5,Polygon,381020051,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002528,0
7,Polygon,379007019,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001414,0
8,Polygon,379007020,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001363,0
9,Polygon,379007022,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.004213,0.000001
10,Polygon,379007023,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.007779,0.000002
11,Polygon,379007024,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.003712,0.000001
13,Polygon,379010033,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001922,0
14,Polygon,379010034,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001932,0
15,Polygon,379010035,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00198,0
16,Polygon,379010036,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002897,0.000001
17,Polygon,379010037,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002537,0
18,Polygon,379010038,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003383,0.000001
19,Polygon,379011036,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.004963,0.000002
20,Polygon,381027001,Yes,No,No,No,No,No,Low,HAW,Kealakehe,0.002445,0
22,Polygon,379002002,Yes,No,No,No,No,No,Low,HAW,Kealakehe,0.005188,0.000001
25,Polygon,379009005,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001643,0
26,Polygon,379009006,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.000967,0
28,Polygon,381020041,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001242,0
29,Polygon,381020042,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001296,0
30,Polygon,379011010,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.024665,0.000012
41,Polygon,379011034,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005369,0.000002
43,Polygon,381003016,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.009973,0.000003
44,Polygon,381003017,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.006141,0.000001
45,Polygon,381003018,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005019,0.000001
48,Polygon,381002066,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002095,0
49,Polygon,379010056,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001582,0
50,Polygon,379010057,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001605,0
51,Polygon,379010058,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001594,0
52,Polygon,379010059,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001592,0
55,Polygon,381022102,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001039,0
56,Polygon,381022103,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001011,0
57,Polygon,379009001,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005071,0.000001
58,Polygon,379009002,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005779,0.000001
59,Polygon,379009003,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005793,0.000001
60,Polygon,379009004,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.006213,0.000001
61,Polygon,379007007,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.006497,0.000001
64,Polygon,381022096,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001044,0
65,Polygon,381022097,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001034,0
