ObjectID *,Shape *,Type,Title,Issuance Date,Year,Cancellation Date,Cause,Count,Monitoring Station,Location Name,Statewide,Island,Island Wide,County,Advisement,Volume_gallons,Status,Latitude,Longitude
1,Point,Sewage Spill,"Wastewater Discharge at Puhi Bay, Hawai‘i",11/25/2022 1:45,2022,11/29/2022 23:44,Broken air feed line,<Null>,<Null>,Puhi Bay,No,Hawaii,No,Hawaii,"The public is advised to remain out of the waters of Puhi Bay to Onekahakaha due to a discharge of partially treated wastewater from Hilo Wastewater Treatment Plant.  Details are as follows:

Event: Discharge of partially treated sewage
Location: Puhi Bay to Onekahakaha
Estimated Volume: 2.2 million gallons
Status of spill: stopped
Estimated begin time: 3:30 pm, 11/23/22
Stoppage time: 8:30 am, 11/24/22
Affected waters: Puhi Bay to Onekahakaha

The public is advised to remain out of these waters until warning signs have been removed.  As a reminder a Brown Water Advisory remains up for the area from Hilo Bay and along the Hamakua Coast.

https://eha-cloud.doh.hawaii.gov/cwb/#!/event/1566/details/view",2200000,Closed,19.735741,-155.05
2,Point,Sewage Spill,"Wastewater Discharge at Waianuenue Bridge near Hilo Bay, Hawai‘i",8/2/2022 6:17,2022,8/5/2022 18:22,Broken pipe,<Null>,<Null>,Waianuenue Bridge near Hilo Bay,No,Hawaii,No,Hawaii,"The public is advised to  stay out of waters of Hilo Bay due to a wastewater discharge near the Waianuenue bridge. An estimated volume of 6,300 gallons was discharged, of which, an unknown volume entered a nearby storm drain which empties into Hilo Bay. 

Event: wastewater discharge
Location: Near Waianuenue bridge, Hilo
Status: stopped
Estimated volume: 6.300 gallons
Affected waterbody: Hilo Bay
Warning signs have been posted.

The public is advised to stay out of the affected waters until warning signs have been removed.",6300,Closed,19.728959,-155.086381
3,Point,Sewage Spill,"Wastewater Discharge at 261 Waianueanue Ave, Hawai‘i",7/5/2022 3:57,2022,7/8/2022 21:28,Obstructed sewer line,<Null>,<Null>,261 Waianueanue Ave,No,Hawaii,No,Hawaii,"The pubic is advised to stay out of waters of Hilo Bay due to a wastewater dischage at 261 Waianueanue Avenue. An estimated 3,000 gallons entered a nearby storm drain which empties into Hilo Bay. Warning signs will be posted.

Event: wastewater discharge
Location: 261 Waianueanue Ave, Hilo
Status: stopped
Estimated volume: 3,000 gallons
Affected waterbody: Hilo Bay

The public is advised to remain out of the affected waters until warning signs have been removed.",3000,Closed,19.728959,-155.086381
4,Point,Sewage Spill,"Wastewater Discharge at Pepe'keo, Hawai‘i",2/22/2022 4:13,2022,2/24/2022 23:23,Unconfirmed,<Null>,<Null>,Pepe'keo,No,Hawaii,No,Hawaii,"The public is advised to remain out of the coastal waters near Kulaimano Homestead Road in Pepe'ekeo, island of Hawaii, due to a wastewater discharge. Details are as follows:

Event: wastewater discharge of undisinfected effluent
Volume: estimated at 1,055 gallons
Location: Kulaimano Wastewater Treatment Plant 
Affected waterbody: coastal waters near Kulaimano Homestead road
Time of discharge: 2:07 pm
Status of event: undisinfected discharge stopped
Signage: Warning signs have been posted

The public is advised to remain out of the affected waters until the warning signs have been removed.",1055,Closed,19.828805,-155.083434
5,Point,Sewage Spill,"Wastewater Discharge at Puhi Bay, Hawai‘i",1/29/2022 2:38,2022,2/1/2022 1:13,Brief power outage,<Null>,<Null>,Puhi Bay,No,Hawaii,No,Hawaii,"The public is advised to avoid the waters near Puhi Bay in Hilo near the Hawaii County's Hilo waste water treatment plant outfall due to a treatment bypass.

Affected waters: Puhi Bay
Cause: Loss of electrical power
Start: 1/27/2022
Status: Stopped
Volume: 8,600 gallons

Warning signs will be posted.

The public is advised to remain out of the affected waters until warning signs have been removed.",8600,Closed,19.735338,-155.049878
6,Point,Sewage Spill,"Wastewater Discharge at Pepeekeo, Island of Hawaii, Hawai‘i",12/4/2021 17:03,2021,12/16/2021 1:40,Power outage,<Null>,<Null>,"Pepeekeo, Island of Hawaii",No,Hawaii,No,Hawaii,"The public is advised to remain out of waters near Pepeekeo due to a wastewater discharge from the Kulaimanu wastewater treatment plant.

Event: Partially treated wastewater discharge
Location: Pepeekeo
Volume: 14,340 gallons
Affected waters: coastal waters fronting Pepeekeo Town
Status of spill: discharged stopped

Warning signs have been posted. The public is advised to remain out of these waters until the signs have been removed.",14340,Closed,19.828805,-155.083434
7,Point,Sewage Spill,"Wastewater Discharge in Kapue Stream and Lyman Bay, Hawai‘i",5/17/2021 20:06,2021,5/27/2021 19:28,Blockage in sewer line,<Null>,<Null>,"Near 27-2086 Hawaii Belt Road, Papaikou",No,Hawaii,No,Hawaii,"Updated 5/18/21
The public is advised to remain out of waters of Kapue stream below Kapue Bridge and Lyman Bay in Papaikou, Hawaii Island. An estimated 67,800 gallons of wastewater overflowed from a nearby manhole and may have entered the stream and adjacent coastline. Warning signs have been posted and water quality samples are being collected.

The blockage has been cleared and the spill has stopped.

The public is advised to remain out of the affected waters until the signs have been removed.

For more information, please see: https://eha-cloud.doh.hawaii.gov/cwb#!/event/1352/details/view",67800,Closed,19.782296,-155.090339
8,Point,Sewage Spill,Wastewater Discharge at Papaikou Wastewater Treatment Plant,3/9/2021 22:54,2021,3/24/2021 0:51,Heavy rain,<Null>,<Null>,"Papaikou Wastewater Treatment Plant, 27-2138 Hawaii Belt Road",No,Hawaii,No,Hawaii,"Updated: 3/15/2021.

The public is advised to remain out of waters fronting the Papaikou Wastewater Treatment Plant due to a wastewater discharge.

Location:
Estimated volume: 400,000 gallons
Cause: Heavy rain
Status: Stopped
Warning signs have been posted

The public is advised to remain out of these waters until warning signs have been removed.",400000,Closed,19.783099,-155.086809
9,Point,Sewage Spill,"Wastewater Discharge at Reed's Bay near Ice Pond, Hilo, Hawai‘i",12/1/2020 10:00,2020,12/5/2020 10:00,Unconfirmed,<Null>,<Null>,"Reed's Bay near Ice Pond, Hilo",No,Hawaii,No,Hawaii,"The public is advised to keep out of the waters of Reed's Bay near Ice Pond, in Hilo due to a sewage spill. 

Location of discharge: Banyan Street near the Ice Pond portion of Reed's Bay
Volume: estimated 28,000 gallons
Volume that entered the water: unknown
Time of event: 12:09 PM; stopped at 12:20 PM
Signs have been posted in the area.

The public is advised to remain out these waters until the warning signs have been removed.",28000,Closed,19.729318,-155.063693
10,Point,Sewage Spill,"Wastewater Discharge at Reed's Bay near Ice Pond, Hilo, Hawai‘i",12/1/2020 2:25,2020,12/1/2020 10:00,Broken force main,<Null>,<Null>,"Reed's Bay near Ice Pond, Hilo",No,Hawaii,No,Hawaii,"The public is advised to keep out of the waters of Reed's Bay near Ice Pond, in Hilo due to a sewage spill. 

Location of discharge: Banyan Street near the Ice Pond portion of Reed's Bay
Volume: estimated 28,000 gallons
Volume that entered the water: unknown
Time of event: 12:09 PM; stopped at 12:20 PM
Signs have been posted in the area.

The public is advised to remain out these waters until the warning signs have been removed.",28000,Closed,19.729318,-155.063693
